Probe,Gene,Detection_P0.01,Detection_P0.05,new_n
ILMN_2358626,ADK,5,3,447
ILMN_2134224,atp13a1,8,1,449
ILMN_1795836,c21orf57,2,0,450
ILMN_1761797,CSTB,0,0,450
ILMN_2242463,CTSC,0,0,450
ILMN_1652333,FN3KRP,0,0,450
ILMN_2410783,GAA,20,5,445
ILMN_2101920,HNRPH1,28,20,430
ILMN_1769782,LAX1,5,0,450
ILMN_2313158,MBNL1,29,17,433
ILMN_2313158,MBP,2,1,449
ILMN_1710752,NAPRT1,0,0,450
ILMN_2121437,NCL,0,0,450
ILMN_1675038,PRMT2,0,0,450
ILMN_1799381,SNORD14A,195,85,365
ILMN_1786426,TMEM149,2,1,449
ILMN_1743646,VASP,16,8,442
