GENE,Probe,SNP1,SNP2
ADK,ILMN_2358626,rs2395095,rs10824092
ATP13A1,ILMN_2134224,rs4284750,rs873870
C21ORF57,ILMN_1795836,rs9978658,rs11701361
CSTB,ILMN_1761797,rs9979356,rs3761385
CTSC,ILMN_2242463,rs7930237,rs556895
FN3KRP,ILMN_1652333,rs898095,rs9892064
GAA,ILMN_2410783,rs11150847,rs12602462
HNRPH1,ILMN_2101920,rs6894268,rs4700810
LAX1,ILMN_1769782,rs1891432,rs10900520
MBLN1,ILMN_2313158,rs11981513,rs13069559
MBLN1,ILMN_2313158,rs16864367,rs13079208
MBLN1,ILMN_2313158,rs2030926,rs13069559
MBLN1,ILMN_2313158,rs218671,rs13069559
MBLN1,ILMN_2313158,rs2614467,rs13069559
MBLN1,ILMN_2313158,rs7710738,rs13069559
MBP,ILMN_2398939,rs8092433,rs4890876
NAPRT1,ILMN_1710752,rs2123758,rs3889129
NCL,ILMN_2121437,rs7563453,rs4973397
PRMT2,ILMN_1675038,rs2839372,rs11701058
SNORD14A,ILMN_1799381,rs2634462,rs6486334
TMEM149,ILMN_1786426,rs807491,rs7254601
TMEM149,ILMN_1786426,rs8106959,rs1843357
TMEM149,ILMN_1786426,rs8106959,rs2351458
TMEM149,ILMN_1786426,rs8106959,rs6718480
TMEM149,ILMN_1786426,rs8106959,rs6926382
TMEM149,ILMN_1786426,rs8106959,rs914940
TMEM149,ILMN_1786426,rs8106959,rs9509428
VASP,ILMN_1743646,rs1264226,rs2276470
RPL13,ILMN_2413278,rs352935,rs2965817
TRA2A,ILMN_1731043,rs7776572,rs11770192
