cluster,loci1_chromosome,loci1_position,loci2_chromosome,loci2_position
1,1,109438442,1,109600322
1,1,19713573,1,19658758
1,1,197019648,1,197467455
1,1,117714705,1,117196581
1,1,225569350,1,225584262
1,1,225569350,1,225686819
1,1,245425096,1,558787
1,1,196848909,1,196782713
1,1,196847600,1,196396203
1,1,196847600,1,197719209
1,1,168326496,1,168335258
1,1,212317356,1,211847496
1,1,169607370,1,168031071
1,1,210065459,1,209970461
1,1,210061722,1,209983263
1,1,207174870,1,207723353
1,1,109994113,1,110064747
1,1,111430113,1,110839521
1,1,64447642,1,70900598
1,1,246134808,1,246636722
1,1,154808577,1,154638406
1,1,154803742,1,154152360
1,1,154802230,1,155035262
1,1,35546805,1,35228199
1,1,52260137,1,52118984
1,1,165787431,1,165764192
1,1,70588284,1,70558062
1,1,6765665,1,7525138
1,1,194886990,1,194510223
1,1,144110024,1,144447221
1,1,158815876,1,158671709
1,1,158815876,1,158815876
1,1,167744420,1,166829079
1,1,211285306,1,210191740
1,1,111216187,1,110093690
1,1,209843913,1,209862444
1,1,52436441,1,52422259
1,1,67746093,1,67597641
1,1,159983316,1,159956125
1,1,209491436,1,206108797
2,1,244457445,1,242907199
2,1,149627527,1,149732325
2,1,149625879,1,149560087
2,1,117179908,1,117243333
2,1,117179831,1,117253702
2,1,143244927,1,143750945
2,1,53832276,1,53962717
2,1,218551182,1,218508973
2,1,30455051,1,30389380
2,1,204471892,9,126111147
2,1,204467134,1,204163687
2,1,201597382,1,201799368
2,1,201595516,1,201661688
2,1,214241239,1,214675828
2,1,214241239,1,235772566
2,1,214010159,1,214289643
2,1,162776639,1,161697569
2,1,208798944,1,209914260
2,1,180225872,1,180151280
3,1,220627134,1,220569846
3,1,170000452,1,169987653
3,1,231531767,1,232086362
3,1,117096727,1,117113833
3,1,232798179,1,232970213
3,1,152432275,1,152442411
3,1,208382543,1,207873065
3,1,174704526,1,174048375
3,1,174703412,1,167091310
3,1,163349588,1,167602491
3,1,150772691,8,126057632
3,1,246473711,1,245842905
3,1,70747073,1,70753796
3,1,70744178,1,70644889
3,1,63855093,1,63208861
3,1,34738438,1,34738438
3,1,34254126,1,34279471
3,1,32243779,1,31859652
3,1,42753036,1,43603905
3,1,58492148,1,58492148
3,1,207440716,1,207535929
3,1,117071217,1,116481097
3,1,117069395,1,117042892
3,1,117069395,1,117047155
3,1,101526877,1,101273043
3,1,94973364,1,94456446
3,1,89716726,1,89849456
3,1,64156222,1,64144410
3,1,30222152,1,30126925
3,1,30219837,1,29415230
3,1,179821479,1,180911158
3,1,148294485,1,148118140
3,1,14310876,1,14332692
3,1,14309597,1,15280185
3,1,219440016,1,219738295
3,1,43144944,1,44181653
3,1,43143349,1,43314887
3,1,232793215,1,233032567
3,1,232791103,1,233042979
3,1,232791103,1,233252283
3,1,160600302,1,160608806
3,1,205207932,1,205320277
3,1,205206334,1,205033207
3,1,178653785,1,179401380
3,1,48288871,1,48263104
3,1,48288871,1,48288871
3,1,39319152,1,39495215
3,1,226633225,1,226646095
3,1,235836816,1,235345758
3,1,199827060,1,199877237
3,1,26349425,1,26478162
3,1,15006530,1,14323182
3,1,15006530,1,15519764
3,1,155082804,1,155121959
3,1,226614298,1,232947433
3,1,153116111,1,152801184
3,1,153116111,1,152923210
3,1,153115578,1,153064278
3,1,65233235,1,65274633
3,1,87072517,1,89646869
3,1,4544968,1,4453939
3,1,208474562,1,209303501
3,1,156413967,1,156089551
3,1,51582607,1,51660280
3,1,206167489,1,191295269
3,1,5654065,1,4635242
3,1,5654065,1,5540816
3,1,94490102,1,95271801
3,1,225798409,1,225869111
3,1,225796939,1,224260864
3,1,234720518,1,234656938
3,1,231719146,1,231870868
3,1,84094434,1,81465822
3,1,166578722,1,166790676
3,1,208169977,1,208033283
3,1,154820463,1,154873369
3,1,21570992,1,20011063
3,1,21570992,1,21682030
3,1,10316904,1,10358846
3,1,20368072,1,20372210
3,1,20368072,1,20465878
3,1,12084903,1,12057395
3,1,235343584,1,235284556
3,1,205739722,1,205560288
3,1,57205431,1,57072888
3,1,100783951,1,100731635
3,1,55577855,1,55564874
3,1,179707031,1,178614614
3,1,179704781,1,180004165
3,1,59668802,3,72216664
3,1,24137733,1,23628513
3,1,164914989,1,165292859
3,1,151106956,5,91014794
3,1,14296729,1,15438958
3,1,14292212,1,14892180
3,1,14292212,1,15535171
3,1,67727619,1,67235676
3,1,67726070,1,67613946
3,1,205645343,1,209864737
3,1,165058224,1,165503150
3,1,4187503,1,4077979
3,1,4187503,1,5156091
3,1,4187716,1,4174665
3,1,14721646,1,14757835
3,1,30979556,1,30989810
3,1,12076291,1,12217852
3,1,12075616,1,12328017
3,1,203930066,1,203974387
3,1,116325481,1,115687569
3,1,116363372,1,119320404
3,1,116362542,1,116139130
3,1,56885725,1,55539598
3,1,50548244,1,48322882
3,1,205244101,1,205225065
3,1,205242581,1,204411380
3,1,179744041,1,179443757
3,1,156200601,1,157632771
3,1,21445495,1,10822376
